is_open,stars,American,Mexican,Italian,Japanese,Chinese,Thai,Mediterranean,French,Vietnamese,Greek,Indian,Korean,Hawaiian,African,Spanish,Middle Eastern,Other,age,review_count_16_19,review_normalized,pos,neg,neutral,pos_norm,neg_norm,neutral_norm,bi_goodfood_text,bi_goodloc_text,bi_bad_text,Delivery,RestaurantsPriceRange2,OutdoorSeating,HasTV,Touristy,Hipster,Romantic,Divey,Intimate,Trendy,Upscale,Classy,Casual,Alc_None_served,Alc_beer_and_wine,Alc_full_bar,open_breakfast,open_lunch,open_dinner,open_hours_meals,displayed_open_hours,is_crowded,is_chain,operation_years
0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,34,11.33,23,5,6,7.67,1.67,2,0,4,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0,1
0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,0.5,4,1,0,0.4,0.1,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,74,14.8,53,14,7,10.6,2.8,1.4,6,3,2,1,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,3,1,1,0,0
1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,216,14.4,163,33,20,10.87,2.2,1.33,30,34,12,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,1,1,0,0
0,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,14,3.5,13,1,0,3.25,0.25,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,3
1,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,595,54.09,386,134,75,35.09,12.18,6.82,145,115,38,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,1,1,0,0
0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1.22,9,2,0,1,0.22,0,0,4,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,3
1,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,89,22.25,81,5,3,20.25,1.25,0.75,11,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,1,1,0,0
0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,51,12.75,31,15,5,7.75,3.75,1.25,3,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,3
0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,43,21.5,29,9,5,14.5,4.5,2.5,10,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,0,2
1,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,1.71,13,10,1,0.93,0.71,0.07,5,1,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,1,0,0
1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,83,11.86,50,28,5,7.14,4,0.71,4,4,7,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,0,1,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,28,7,19,6,3,4.75,1.5,0.75,2,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,1,0
1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,89,14.83,51,28,10,8.5,4.67,1.67,5,6,10,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,102,7.85,67,23,12,5.15,1.77,0.92,28,23,6,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,3,1,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,3.25,13,0,0,3.25,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1,1,0,0
1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,127,21.17,111,5,11,18.5,0.83,1.83,25,8,3,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0
1,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,2.88,10,10,3,1.25,1.25,0.38,6,0,3,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,2,1,1,0,0
0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,8.67,13,12,1,4.33,4,0.33,5,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,0,1
